id,name,description,price
3779f93c-c9ea-4265-925d-6fcff14d2022,Coca Cola,Take even bank before administration debate break.,3.19
144c907b-7353-4ce9-be2d-42241465e11b,Pepsi,Conference work candidate production discuss minute.,1.36
c2e881eb-ba55-4540-88e4-174fa4346da7,Sprite,Analysis late visit wait.,2.33
0a068a3d-6048-4eef-be07-3de94ffdd1ef,Fanta,Office admit economy this majority politics former record.,2.63
662f5f68-37bb-4507-b22b-73425a716662,Dr Pepper,Mention until management officer spend audience.,2.55
8bfe4fcc-a12d-4aae-abb1-ff1acd5e3474,Mountain Dew,Through quite enjoy place together her.,4.91
13e5d13e-d2b9-4693-a5d9-e2d25305ba31,Iced Tea,Trip claim these high skill.,2.38
942bf6e5-fff2-4987-9a9b-666b7c5759ee,Lemonade,Law control mother mission.,2.01
af01549f-bcfe-4a5e-87f9-f1369730d8fc,Root Beer,Claim doctor about worker tell inside station although.,2.39
1d80900a-6b70-4522-84e2-57bd92bdc70f,Orange Juice,Realize design positive test already while everything.,3.11
